prime,resonance,mod12,gap,nearest_target,distance
5023,0.000000,7,16,6561,1538.0
5039,0.000000,11,12,6561,1522.0
5051,0.000000,11,8,6561,1510.0
5059,0.000000,7,18,6561,1502.0
5077,0.000000,1,4,6561,1484.0
5081,0.000000,5,6,6561,1480.0
5087,0.000000,11,12,6561,1474.0
5099,0.000000,11,2,6561,1462.0
5101,0.000000,1,6,6561,1460.0
5107,0.000000,7,6,6561,1454.0
5113,0.000000,1,6,6561,1448.0
5119,0.000000,7,28,6561,1442.0
5147,0.000000,11,6,6561,1414.0
5153,0.000000,5,14,6561,1408.0
5167,0.000000,7,4,6561,1394.0
5171,0.000000,11,8,6561,1390.0
5179,0.000000,7,10,6561,1382.0
5189,0.000000,5,8,6561,1372.0
5197,0.000000,1,12,6561,1364.0
5209,0.000000,1,18,6561,1352.0
5227,0.000000,7,4,6561,1334.0
5231,0.000000,11,2,6561,1330.0
5233,0.000000,1,4,6561,1328.0
5237,0.000000,5,24,6561,1324.0
5261,0.000000,5,12,6561,1300.0
5273,0.000000,5,6,6561,1288.0
5279,0.000000,11,2,6561,1282.0
5281,0.000000,1,16,6561,1280.0
5297,0.000000,5,6,6561,1264.0
5303,0.000000,11,6,6561,1258.0
5309,0.000000,5,14,6561,1252.0
5323,0.000000,7,10,6561,1238.0
5333,0.000000,5,14,6561,1228.0
5347,0.000000,7,4,6561,1214.0
5351,0.000000,11,30,6561,1210.0
5381,0.000000,5,6,6561,1180.0
5387,0.000000,11,6,6561,1174.0
5393,0.000000,5,6,6561,1168.0
5399,0.000000,11,8,6561,1162.0
5407,0.000000,7,6,6561,1154.0
5413,0.000000,1,4,6561,1148.0
5417,0.000000,5,2,6561,1144.0
5419,0.000000,7,12,6561,1142.0
5431,0.000000,7,6,6561,1130.0
5437,0.000000,1,4,6561,1124.0
5441,0.000000,5,2,6561,1120.0
5443,0.000000,7,6,6561,1118.0
5449,0.000000,1,22,6561,1112.0
5471,0.000000,11,6,6561,1090.0
5477,0.000000,5,2,6561,1084.0
5479,0.000000,7,4,6561,1082.0
5483,0.000000,11,18,6561,1078.0
5501,0.000000,5,2,6561,1060.0
5503,0.000000,7,4,6561,1058.0
5507,0.000000,11,12,6561,1054.0
5519,0.000000,11,2,6561,1042.0
5521,0.000000,1,6,6561,1040.0
5527,0.000000,7,4,6561,1034.0
5531,0.000000,11,26,6561,1030.0
5557,0.000000,1,6,6561,1004.0
5563,0.000000,7,6,6561,998.0
